"","Language","World.Region","Language.Family","Latitude","Longitude"
"948","St. Lucian Creole (English)","Caribbean","Indo-European",40.65163004,-73.93244823
"949","St. Lucian Creole (French)","Caribbean","Indo-European",40.651155,-73.931481
"950","Sudanese Arabic","Northern Africa","Afro-Asiatic",40.683596,-74.001324
"951","Sundanese","Southeastern Asia","Austronesian",40.758821,-73.911804
"952","Sundanese","Southeastern Asia","Austronesian",40.743866,-73.885241
"953","Sunwar","Southern Asia","Sino-Tibetan",40.746141,-73.890133
"954","Susu","Western Africa","Mande",40.825858,-73.928101
"955","Susu","Western Africa","Mande",40.796702,-73.948169
"956","Svan","Western Asia","Kartvelian",40.615344,-73.996824
"957","Swabian","Western Europe","Indo-European",40.72615665,-73.98336473
"958","Swahili","Eastern Africa","Atlantic-Congo",40.682314,-73.930328
"959","Swahili","Eastern Africa","Atlantic-Congo",40.820094,-73.944406
"960","Swahili","Eastern Africa","Atlantic-Congo",40.714102,-74.072159
"961","Swati","Southern Africa","Atlantic-Congo",40.752015,-73.971701
"962","Swiss German","Western Europe","Indo-European",40.751549,-73.976685
"963","Sylheti","Southern Asia","Indo-European",40.757027,-73.930985
"964","Sylheti","Southern Asia","Indo-European",40.639024,-73.975506
"965","Sylheti","Southern Asia","Indo-European",40.877143,-73.879021
"966","Sylheti","Southern Asia","Indo-European",40.680082,-73.861136
"967","Syriac","Western Asia","Afro-Asiatic",40.687837,-73.984766
"968","Syriac","Western Asia","Afro-Asiatic",40.952931,-74.076824
"969","Syrian Judeo-Arabic","Western Asia","Afro-Asiatic",40.71750208,-73.99122362
"970","Syrian Judeo-Arabic","Western Asia","Afro-Asiatic",40.252374,-74.001209
"971","Syrian Judeo-Arabic","Western Asia","Afro-Asiatic",40.599219,-73.966234
"972","Syro-Malankara Syriac","Southern Asia","Afro-Asiatic",40.744794,-73.712307
"973","Tagalog","Southeastern Asia","Austronesian",40.730095,-73.980013
"974","Tagalog","Southeastern Asia","Austronesian",40.714214,-73.777095
"975","Tagalog","Southeastern Asia","Austronesian",40.73491125,-74.05902501
"976","Tagalog","Southeastern Asia","Austronesian",40.833352,-73.90282
"977","Tagalog","Southeastern Asia","Austronesian",40.74637,-73.895345
"978","Taíno","Caribbean","Arawakan",40.867332,-73.922827
"979","Taishanese","Eastern Asia","Sino-Tibetan",40.754,-73.829123
"980","Taishanese","Eastern Asia","Sino-Tibetan",40.719229,-73.996307
"981","Taishanese","Eastern Asia","Sino-Tibetan",40.61862277,-73.98428289
"982","Taiwanese","Eastern Asia","Sino-Tibetan",40.763296,-73.829564
"983","Taiwanese","Eastern Asia","Sino-Tibetan",40.640121,-74.008508
"984","Tajik","Central Asia","Indo-European",40.724723,-73.847605
"985","Tajik","Central Asia","Indo-European",40.584019,-73.950845
"986","Tamang","Southern Asia","Sino-Tibetan",40.698555,-73.907886
"987","Tamang","Southern Asia","Sino-Tibetan",40.742475,-73.904506
"988","Tamil","Southern Asia","Dravidian",40.628745,-74.636082
"989","Tamil","Southern Asia","Dravidian",40.754806,-73.716303
"990","Tamil","Southern Asia","Dravidian",40.74148533,-73.98309462
"991","Tamil","Southern Asia","Dravidian",40.73572974,-74.06629813
"992","Tarifit","Northern Africa","Afro-Asiatic",40.767356,-73.911466
"993","Tashelhyt","Northern Africa","Afro-Asiatic",40.767211,-73.912051
"994","Tatar","Eastern Europe","Turkic",40.781358,-73.845833
"995","Tatar","Eastern Europe","Turkic",40.71201,-73.946781
"996","Tausug","Southeastern Asia","Austronesian",40.745807,-73.902607
"997","Tawala","Melanesia","Austronesian",40.66423,-73.71353
"998","Tedim Chin","Southeastern Asia","Sino-Tibetan",40.70554905,-73.87129026
"999","Telugu","Southern Asia","Dravidian",40.750112,-73.762918
"1000","Telugu","Southern Asia","Dravidian",40.542939,-74.32825
"1001","Telugu","Southern Asia","Dravidian",40.73564041,-74.06588913
