"","X","Language","World.Region","Language.Family","Latitude","Longitude","class"
"31",64,"Bantawa","Southern Asia","Sino-Tibetan",40.746544,-73.890042,"Asia"
"32",68,"Baragaun","Southern Asia","Sino-Tibetan",40.634346,-73.965467,"Asia"
"33",69,"Baragaun","Southern Asia","Sino-Tibetan",40.735417,-74.063714,"Asia"
"34",70,"Baragaun","Southern Asia","Sino-Tibetan",40.6959,-73.829633,"Asia"
"35",73,"Bartangi","Central Asia","Indo-European",40.776191,-73.951543,"Asia"
"36",75,"Basque","Southern Europe","Basque",40.7106091,-73.99587896,"Europe"
"37",76,"Basque","Southern Europe","Basque",40.729622,-73.952216,"Europe"
"38",77,"Basque","Southern Europe","Basque",40.728429,-74.164932,"Europe"
"39",79,"Batak","Southeastern Asia","Austronesian",40.73887636,-73.98386337,"Asia"
"40",80,"Batak (Karo)","Southeastern Asia","Austronesian",40.75376818,-73.88596564,"Asia"
"41",81,"Batak (Toba)","Southeastern Asia","Austronesian",40.75415829,-73.88553649,"Asia"
"42",82,"Bavarian","Western Europe","Indo-European",40.701184,-73.88621,"Europe"
"43",83,"Bavarian","Western Europe","Indo-European",40.77839331,-73.95347934,"Europe"
"44",84,"Belarusian","Eastern Europe","Indo-European",40.687024,-73.984569,"Europe"
"45",85,"Belarusian","Eastern Europe","Indo-European",40.712987,-73.797407,"Europe"
"46",86,"Belarusian","Eastern Europe","Indo-European",40.586454,-73.952123,"Europe"
"47",87,"Belarusian","Eastern Europe","Indo-European",40.440222,-74.365218,"Europe"
"48",90,"Bengali","Southern Asia","Indo-European",40.790639,-73.951315,"Asia"
"49",91,"Bengali","Southern Asia","Indo-European",40.729347,-73.983667,"Asia"
"50",92,"Bengali","Southern Asia","Indo-European",40.747287,-73.891825,"Asia"
"51",93,"Bengali","Southern Asia","Indo-European",40.710304,-73.793582,"Asia"
"52",94,"Bengali","Southern Asia","Indo-European",40.642871,-73.97484,"Asia"
"53",95,"Bengali","Southern Asia","Indo-European",40.837645,-73.861228,"Asia"
"54",96,"Bengali","Southern Asia","Indo-European",40.92034873,-74.1866364,"Asia"
"55",97,"Betawi Malay","Southeastern Asia","Austronesian",40.739496,-73.879883,"Asia"
"56",99,"Bhojpuri","Southern Asia","Indo-European",40.750841,-73.891415,"Asia"
"57",100,"Bhojpuri","Southern Asia","Indo-European",39.99928246,-74.19640199,"Asia"
